Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status,Latitudes,Longitudes
1000010,Abu Dhabi,"Abu Dhabi,Abu Dhabi,United Arab Emirates",9041082,AE,City,Active,24.46667,54.36667
1000011,Ajman,"Ajman,Ajman,United Arab Emirates",9047096,AE,City,Active,25.41111,55.43504
1000012,Al Ain,"Al Ain,Abu Dhabi,United Arab Emirates",9041082,AE,City,Active,24.19167,55.76056
1000013,Dubai,"Dubai,Dubai,United Arab Emirates",9041083,AE,City,Active,25.0657,55.17128
1000014,Ras Al-Khaimah,"Ras Al-Khaimah,Ras al Khaimah,United Arab Emirates",9047098,AE,City,Active,25.78953,55.9432
1000018,Salta,"Salta,Salta Province,Argentina",20008,AR,City,Active,-24.7859,-65.41166
1000021,Avellaneda,"Avellaneda,Buenos Aires Province,Argentina",20009,AR,City,Active,-29.11761,-59.65834
1000024,Bahia Blanca,"Bahia Blanca,Buenos Aires Province,Argentina",20009,AR,City,Active,-38.7196,-62.27243
1000025,Balcarce,"Balcarce,Buenos Aires Province,Argentina",20009,AR,City,Active,-32.56329,-65.03175
1000027,Brandsen,"Brandsen,Buenos Aires Province,Argentina",20009,AR,City,Active,-35.25,-58.16667
1000028,Campana,"Campana,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.16874,-58.95914
1000029,Chacabuco,"Chacabuco,Buenos Aires Province,Argentina",20009,AR,City,Active,-27.14102,-61.31382
1000030,Colon,"Colon,Buenos Aires Province,Argentina",20009,AR,City,Active,-31.83333,-58.33333
1000031,Del Viso,"Del Viso,Pilar,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.45013,-58.78781
1000035,Isidro Casanova,"Isidro Casanova,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.69933,-58.59041
1000036,Junin,"Junin,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.58382,-60.94332
1000037,La Plata,"La Plata,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.92145,-57.95453
1000039,Lomas de Zamora,"Lomas de Zamora,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.75,-58.41667
1000040,Luis Guillon,"Luis Guillon,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.79881,-58.44947
1000041,Lujan,"Lujan,Buenos Aires Province,Argentina",20009,AR,City,Active,-32.3757,-65.9296
1000042,Mar del Plata,"Mar del Plata,Buenos Aires Province,Argentina",20009,AR,City,Active,-38.00228,-57.55754
1000044,Moron,"Moron,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.65344,-58.61975
1000045,Olavarria,"Olavarria,Buenos Aires Province,Argentina",20009,AR,City,Active,-35.70176,-63.02429
1000047,Pergamino,"Pergamino,Buenos Aires Province,Argentina",20009,AR,City,Active,-33.88995,-60.57357
1000050,Pinamar,"Pinamar,Buenos Aires Province,Argentina",20009,AR,City,Active,-37.10795,-56.8614
1000053,Quilmes,"Quilmes,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.72418,-58.25265
1000058,San Antonio de Padua,"San Antonio de Padua,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.66446,-58.70769
1000059,San Fernando,"San Fernando,Buenos Aires Province,Argentina",20009,AR,City,Active,-27.34461,-66.89465
1000060,San Isidro,"San Isidro,Buenos Aires Province,Argentina",20009,AR,City,Active,-22.73333,-65.25
1000062,San Nicolas de los Arroyos,"San Nicolas de los Arroyos,Buenos Aires Province,Argentina",20009,AR,City,Active,-33.33578,-60.22523
1000063,San Pedro,"San Pedro,Buenos Aires Province,Argentina",20009,AR,City,Active,-28.66186,-66.92347
1000065,Tandil,"Tandil,Buenos Aires Province,Argentina",20009,AR,City,Active,-37.32167,-59.13316
1000066,Tortuguitas,"Tortuguitas,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.46968,-58.75917
1000067,Trenque Lauquen,"Trenque Lauquen,Buenos Aires Province,Argentina",20009,AR,City,Active,-36,-62.66667
1000069,Vicente Lopez,"Vicente Lopez,Buenos Aires Province,Argentina",20009,AR,City,Active,-34.52947,-58.4737
1000070,Villa Gesell,"Villa Gesell,Buenos Aires Province,Argentina",20009,AR,City,Active,-37.26394,-56.97304
1000072,Zarate,"Zarate,Buenos Aires Province,Argentina",20009,AR,City,Active,-26.2068,-65.36331
1000073,Buenos Aires,"Buenos Aires,Autonomous City of Buenos Aires,Argentina",20010,AR,City,Active,-34.61315,-58.37723
1000075,Concepcion del Uruguay,"Concepcion del Uruguay,Entre Rios,Argentina",20011,AR,City,Active,-32.48249,-58.23722
1000077,Gualeguaychu,"Gualeguaychu,Entre Rios,Argentina",20011,AR,City,Active,-33.00938,-58.51722
1000078,Parana,"Parana,Entre Rios,Argentina",20011,AR,City,Active,-27.04395,-64.46343
1000080,La Rioja,"La Rioja,La Rioja Province,Argentina",20012,AR,City,Active,-29.41105,-66.85067
1000081,Santiago del Estero,"Santiago del Estero,Santiago del Estero Province,Argentina",21298,AR,City,Active,-28,-63.5
1000082,Resistencia,"Resistencia,Chaco Province,Argentina",20013,AR,City,Active,-23.95,-62.51667
1000085,San Juan,"San Juan,San Juan Province,Argentina",20014,AR,City,Active,-25.18521,-57.96233
1000088,General Pico,"General Pico,La Pampa Province,Argentina",20016,AR,City,Active,-35.65662,-63.75682
1000089,Santa Rosa,"Santa Rosa,La Pampa Province,Argentina",20016,AR,City,Active,-28.44968,-65.69576
1000092,Mendoza,"Mendoza,Mendoza Province,Argentina",20017,AR,City,Active,-32.89084,-68.82717
1000094,San Martin,"San Martin,Mendoza Province,Argentina",20017,AR,City,Active,-29.22315,-65.77303
1000095,San Rafael,"San Rafael,Mendoza Province,Argentina",20017,AR,City,Active,-31.85964,-65.54988
1000096,Posadas,"Posadas,Misiones Province,Argentina",20018,AR,City,Active,-27.36708,-55.89608
1000097,Formosa,"Formosa,Formosa Province,Argentina",21299,AR,City,Active,-26.17753,-58.17814
1000099,Neuquen,"Neuquen,Neuquen,Argentina",20019,AR,City,Active,-38.95161,-68.0591
1000100,San Martin de los Andes,"San Martin de los Andes,Neuquen,Argentina",20019,AR,City,Active,-40.15789,-71.35337
1000104,San Carlos de Bariloche,"San Carlos de Bariloche,Rio Negro,Argentina",20020,AR,City,Active,-41.14557,-71.30822
1000105,Viedma,"Viedma,Rio Negro,Argentina",20020,AR,City,Active,-40.81345,-62.99668
1000108,Rafaela,"Rafaela,Santa Fe Province,Argentina",20021,AR,City,Active,-31.25033,-61.4867
1000109,Rosario,"Rosario,Santa Fe Province,Argentina",20021,AR,City,Active,-28.36222,-66.16018
1000112,Santa Fe,"Santa Fe,Santa Fe Province,Argentina",20021,AR,City,Active,-31.63333,-60.7
1000114,Venado Tuerto,"Venado Tuerto,Santa Fe Province,Argentina",20021,AR,City,Active,-33.74556,-61.96884
1000115,Villa Constitucion,"Villa Constitucion,Santa Fe Province,Argentina",20021,AR,City,Active,-33.22778,-60.3297
1000116,San Miguel de Tucuman,"San Miguel de Tucuman,Tucuman,Argentina",20022,AR,City,Active,-26.82414,-65.2226
1000117,Comodoro Rivadavia,"Comodoro Rivadavia,Chubut Province,Argentina",20023,AR,City,Active,-45.86413,-67.49656
1000119,Puerto Madryn,"Puerto Madryn,Chubut Province,Argentina",20023,AR,City,Active,-42.7692,-65.03851
1000121,Rio Grande,"Rio Grande,Tierra del Fuego Province,Argentina",20024,AR,City,Active,-23.4,-65.75
1000122,Ushuaia,"Ushuaia,Tierra del Fuego Province,Argentina",20024,AR,City,Active,-54.8,-68.3
1000123,Corrientes,"Corrientes,Corrientes Province,Argentina",20025,AR,City,Active,-27.4806,-58.8341
1000126,Cordoba,"Cordoba,Cordoba,Argentina",20026,AR,City,Active,-31.4135,-64.18105
1000128,Rio Cuarto,"Rio Cuarto,Cordoba,Argentina",20026,AR,City,Active,-33.13067,-64.34992
1000129,San Francisco,"San Francisco,Cordoba,Argentina",20026,AR,City,Active,-29.42423,-59.38525
1000130,Villa Maria,"Villa Maria,Cordoba,Argentina",20026,AR,City,Active,-34.886,-60.34296
1000133,Jujuy,"Jujuy,Jujuy,Argentina",20027,AR,City,Active,-23,-66
1000134,Caleta Olivia,"Caleta Olivia,Santa Cruz Province,Argentina",20028,AR,City,Active,-46.43929,-67.52814
1000135,Rio Gallegos,"Rio Gallegos,Santa Cruz Province,Argentina",20028,AR,City,Active,-51.62261,-69.21813
1000142,Canberra,"Canberra,Australian Capital Territory,Australia",20034,AU,City,Active,-35.28346,149.12807
1000144,Barwon Downs,"Barwon Downs,Victoria,Australia",20040,AU,City,Active,-38.46667,143.75
1000148,Albury,"Albury,New South Wales,Australia",20035,AU,City,Active,-36.07494,146.92394
1000149,Armidale,"Armidale,New South Wales,Australia",20035,AU,City,Active,-30.50828,151.67123
1000152,Ballina,"Ballina,New South Wales,Australia",20035,AU,City,Active,-28.86414,153.56541
1000156,Batemans Bay,"Batemans Bay,New South Wales,Australia",20035,AU,City,Active,-35.70658,150.17542
1000157,Bathurst,"Bathurst,New South Wales,Australia",20035,AU,City,Active,-33.41665,149.5806
1000170,Broken Hill,"Broken Hill,New South Wales,Australia",20035,AU,City,Active,-31.96173,141.45998
1000173,Cessnock,"Cessnock,New South Wales,Australia",20035,AU,City,Active,-32.83211,151.35623
1000184,Coffs Harbour,"Coffs Harbour,New South Wales,Australia",20035,AU,City,Active,-30.29626,153.11351
1000200,Dubbo,"Dubbo,New South Wales,Australia",20035,AU,City,Active,-32.24295,148.60484
1000211,Goulburn,"Goulburn,New South Wales,Australia",20035,AU,City,Active,-34.75155,149.72086
1000212,Grafton,"Grafton,New South Wales,Australia",20035,AU,City,Active,-29.69012,152.93337
1000213,Griffith,"Griffith,New South Wales,Australia",20035,AU,City,Active,-34.28853,146.05093
1000225,Kiama,"Kiama,New South Wales,Australia",20035,AU,City,Active,-34.66828,150.85219
1000226,Victoria Point,"Victoria Point,Queensland,Australia",20037,AU,City,Active,-27.58329,153.31172
1000227,Katoomba,"Katoomba,New South Wales,Australia",20035,AU,City,Active,-33.71977,150.30739
1000233,Lismore,"Lismore,New South Wales,Australia",20035,AU,City,Active,-28.81354,153.2773
1000234,Lithgow,"Lithgow,New South Wales,Australia",20035,AU,City,Active,-33.48247,150.13631
